Concept ID	Concept ID.1	English	Indonesian	Semantic field	Concept Notes	Core set	db_Object	GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
18	thunder	thunder	guntur	The physical world			thunder	thunder	18.0	2378	THUNDER (VERB) (verb)	3.0
19	lightning	lightning	kilat	The physical world			lightning	lightning	19.0	1654	LIGHTNING (noun)	3.0
20	earthquake	earthquake	gempa bumi	The physical world			earthquake	earthquake	20.0	6	EARTHQUAKE (noun)	3.0
21	fog	fog	kabut	The physical world			fog	fog	21.0	249	FOG (noun)	3.0
22	riverstream	"river; stream"	"sungai; kali"	The physical world			"river; stream"	"river; stream"	22.0	666	RIVER (noun)	3.0
22		river	 Sungai		from Keraf		river	RIVER				
23	ice	ice	es	The physical world			ice	ice	23.0	617	ICE (noun)	3.0
24	snow	snow	salju	The physical world			snow	snow	24.0	784	SNOW (noun)	3.0
25	lake	lake	danau	The physical world			lake	lake	25.0	624	LAKE (noun)	3.0
26	mountain	mountain	gunung	The physical world			mountain	mountain	26.0	639	MOUNTAIN (noun)	3.0
27	hillridge	"hill; ridge"	bukit	The physical world			"hill; ridge"	"hill; ridge"	27.0	614	HILL (noun)	3.0
28	village	village	"desa; kampung"	Social and political relations			village	village	28.0	930	VILLAGE (noun)	3.0
29	landsoil	"land; soil"	tanah	The physical world			"land; soil"	"land; soil"	29.0	1015	SOIL (verb)	3.0
30	earth	Earth	bumi	The physical world			Earth	Earth	30.0	1228	EARTH (SOIL) (noun)	3.0
30		earth	 Tanah		from Keraf		earth	EARTH				
31	hole	hole	lubang	Spatial relations			hole	hole	31.0	1667	HOLE (noun)	3.0
32	stone	stone	batu	The physical world			stone	stone	32.0	1762	STONE (OF FRUIT) (noun)	3.0
33	coralrock	coral (rock)	batu karang	The physical world			coral (rock)	coral (rock)	33.0	???	???	8.0
34	coralreef	(coral) reef	karang	The physical world			(coral) reef	(coral) reef	34.0	660	REEF (noun)	3.0
35	waterfresh	water (fresh)	air	The physical world			water (fresh)	water (fresh)	35.0	948	WATER (noun)	3.0
35		water	 Air		from Keraf		water	WATER				
36	seaseawater	"sea; sea water"	"laut; air laut"	The physical world			"sea; sea water"	"sea; sea water"	36.0	1474	SEA (noun)	3.0
36		sea	 Laut		from Keraf		sea	SEA				
37	wave	wave	ombak	The physical world			wave	wave	37.0	978	WAVE (noun)	3.0
38	foam	foam	busa	The physical world			foam	foam	38.0	1768	FOAM (noun)	3.0
39	forest	forest	hutan	The physical world			forest	forest	39.0	420	FOREST (noun)	3.0
40	field	field	padang rumput	Agriculture and vegetation			field	field	40.0	212	FIELD (noun)	3.0
41	island	island	pulau	The physical world			island	island	41.0	622	ISLAND (noun)	3.0
42	ricefield	rice field	sawah	Agriculture and vegetation			rice field	rice field	42.0	140	PADDY FIELD (noun)	5.0
43	garden	garden	kebun	Agriculture and vegetation			garden	garden	43.0	586	GARDEN (noun)	3.0
44	fence	fence	pagar	Agriculture and vegetation			fence	fence	44.0	1690	FENCE (noun)	3.0
45	roadpathway	"road; path; way"	jalanan	Motion			"road; path; way"	"road; path; way"	45.0	667	ROAD (noun)	3.0
45		road	 Jalan		from Keraf		road	ROAD				
46	canoe	canoe	"perahu; sampan"	Motion			canoe	canoe	46.0	1970	CANOE (noun)	3.0
47	sailn	sail (n.)	layar	Motion			sail (n.)	sail (n.)	47.0	787	SAIL (verb)	3.0
48	_sail	to sail	berlayar	Motion			to sail	to sail	48.0	787	SAIL (verb)	2.0
49	fishinghook	fishing hook	mata kail	Warfare and hunting			fishing hook	fishing hook	49.0	841	FISHING SPEAR (noun)	5.0
50	fishtrap	fish trap	ker	Warfare and hunting			fish trap	fish trap	50.0	389	FISH TRAP (noun)	3.0
51	rope	rope	tali	Basic actions and technology			rope	rope	51.0	1218	ROPE (noun)	3.0
52	machete	machete	parang	Basic actions and technology			machete	machete	52.0	0	???	8.0
53	axe	axe	kapak	Basic actions and technology			axe	axe	53.0	677	AXE (noun)	3.0
54	spear	spear	tombak	Warfare and hunting			spear	spear	54.0	473	SPEAR (SOMEBODY) (verb)	3.0
55	burdenstick	burden stick	lalepak	Basic actions and technology			burden stick	burden stick	55.0	???	???	8.0
56	stickpole	"stick; pole"	tongkat	Basic actions and technology			"stick; pole"	"stick; pole"	56.0	1295	STICK (noun)	3.0
57	diggingstic	digging stick	alat sedot tanah	Agriculture and vegetation			digging stick	digging stick	57.0	339	DIGGING STICK (noun)	3.0
58	dibblestick	dibble stick	tugal	Agriculture and vegetation			dibble stick	dibble stick	58.0	???	???	8.0
59	bow	bow	busur	Warfare and hunting			bow	bow	59.0	994	BOW (noun)	3.0
60	arrow	arrow	(anak) panah	Warfare and hunting			arrow	arrow	60.0	977	ARROW (noun)	3.0
61	knife	knife	pisau	Basic actions and technology			knife	knife	61.0	2082	KNIFE (CLASSIFIER) (classifier)	3.0
62	comb	comb	sisir	Clothing and grooming			comb	comb	62.0	1475	COMB (noun)	3.0
63	mat	mat	tikar	Basic actions and technology			mat	mat	63.0	195	MAT (noun)	3.0
64	needle	needle	jarum	Clothing and grooming			needle	needle	64.0	1382	NEEDLE (FOR SEWING) (noun)	3.0
65	clothing	clothing	pakaian	Clothing and grooming			clothing	clothing	65.0	2088	CLOTHING (CLASSIFIER) (classifier)	3.0
66	oven	oven	tungku	Food and drink			oven	oven	66.0	1143	OVEN (noun)	3.0
67	fire	fire	api	The physical world			fire	fire	67.0	221	FIRE (noun)	3.0
68	smoke	smoke	asap	The physical world			smoke	smoke	68.0	1689	SMOKE (INHALE) (verb)	3.0
69	ash	ash	abu	The physical world			ash	ash	69.0	646	ASH (noun)	3.0
70	dustfineear	"dust; fine earth"	debu	The physical world			"dust; fine earth"	"dust; fine earth"	70.0	2	DUST (noun)	3.0
70		dust	 Debu		from Keraf		dust	DUST				
71	fireplaceas	fireplace ash	abu tungku	The physical world			fireplace ash	fireplace ash	71.0	185	FIREPLACE (noun)	5.0
72	mud	mud	lumpur	The physical world			mud	mud	72.0	640	MUD (noun)	3.0
73	clay	clay	tanah liat	The physical world			clay	clay	73.0	1399	CLAY (noun)	3.0
74	gravel	gravel	(batu) kerikil	The physical world			gravel	gravel	74.0	0	???	8.0
75	sand	sand	pasir	The physical world			sand	sand	75.0	671	SAND (noun)	3.0
76	grassbrush	"grass; brush"	rumput	Agriculture and vegetation			"grass; brush"	"grass; brush"	76.0	1821	BRUSH (noun)	3.0
76		grass	 Rumput		from Keraf		grass	GRASS				
77	house	house	rumah	The house			house	house	77.0	1252	HOUSE (noun)	3.0
78	traditional	traditional house	rumah adat	Religion and belief			traditional house	traditional house	78.0	???	???	8.0
79	barnstorage	"barn; storage house"	gudang	Agriculture and vegetation			"barn; storage house"	"barn; storage house"	79.0	???	???	8.0
80	raisedplatf	raised platform	bale-bale	Social and political relations			raised platform	raised platform	80.0	0	???	8.0
81	door	door	pintu	The house			door	door	81.0	1567	DOOR (noun)	3.0
82	thatchroof	(thatch) roof	atap (dr daun)	The house			(thatch) roof	(thatch) roof	82.0	769	ROOF (noun)	3.0
83	roofthatch	roof thatch	alang-alang	The house			roof thatch	roof thatch	83.0	279	THATCH (noun)	5.0
84	tree	tree	pohon	Agriculture and vegetation			tree	tree	84.0	906	TREE (noun)	3.0
85	wood	wood	"kayu; pohon"	The physical world			wood	wood	85.0	1803	WOOD (noun)	3.0
86	barkoftree	bark (of tree)	kulit pohon	Agriculture and vegetation			bark (of tree)	bark (of tree)	86.0	1204	BARK (noun)	3.0
87	leaf	leaf	daun	Agriculture and vegetation			leaf	leaf	87.0	628	LEAF (noun)	3.0
88	branch	branch	dahan	Agriculture and vegetation			branch	branch	88.0	1531	BRANCH (noun)	3.0
89	firewood	firewood	kayu api	The physical world			firewood	firewood	89.0	10	FIREWOOD (noun)	3.0
90	rattan	rattan	rotan	Agriculture and vegetation			rattan	rattan	90.0	2497	RATTAN (noun)	3.0
91	root	root	akar	Agriculture and vegetation			root	root	91.0	670	ROOT (noun)	3.0
92	fruit	fruit	buah	Food and drink			fruit	fruit	92.0	1507	FRUIT (noun)	3.0
93	seed	seed	biji	Agriculture and vegetation			seed	seed	93.0	714	SEED (noun)	3.0
94	graincereal	"grain; cereal"	padi-padian	Agriculture and vegetation			"grain; cereal"	"grain; cereal"	94.0	0	???	8.0
95	flower	flower	bunga	Agriculture and vegetation			flower	flower	95.0	239	FLOWER (noun)	3.0
96	huskedriceu	"husked rice; uncooked rice"	beras	Agriculture and vegetation			"husked rice; uncooked rice"	"husked rice; uncooked rice"	96.0	926	RICE	8.0
97	ricegrainsu	rice grains (unhusked) (raw from field)	bulir padi	Agriculture and vegetation			rice grains (unhusked) (raw from field)	rice grains (unhusked) (raw from field)	97.0	???	???	8.0
98	cookedrice	cooked rice	nasi	Food and drink			cooked rice	cooked rice	98.0	1191	COOKED RICE (noun)	3.0
99	riceplant	rice plant	padi	Agriculture and vegetation			rice plant	rice plant	99.0	2026	RICE PLANT (noun)	3.0
100	_plantyam	to plant (yam)		Agriculture and vegetation			to plant (yam)	to plant (yam)	100.0	1486	PLANT (SOMETHING) (verb)	2.0
101	_plantrice	to plant (rice)	tanam (padi)	Agriculture and vegetation			to plant (rice)	to plant (rice)	101.0	1486	PLANT (SOMETHING) (verb)	2.0
102	betelnutare	"betel nut; areca"	pinang	Agriculture and vegetation			"betel nut; areca"	"betel nut; areca"	102.0	2369	BETEL NUT (noun)	3.0
103	betelvine	betel vine	sirih	Agriculture and vegetation			betel vine	betel vine	103.0	2369	BETEL NUT (noun)	5.0
104	lime	lime	kapur	Agriculture and vegetation			lime	lime	104.0	982	LIME (FRUIT) (noun)	3.0
105	chewbetel	chew betel	makan sirih	Food and drink			chew betel	chew betel	105.0	2369	BETEL NUT (noun)	5.0
106	sweetpotato	sweet potato	ubi jalar	Agriculture and vegetation			sweet potato	sweet potato	106.0	159	SWEET POTATO (noun)	3.0
107	cassava	cassava	ubi kayu	Agriculture and vegetation			cassava	cassava	107.0	925	CASSAVA (noun)	3.0
108	taro	taro	keladi	Agriculture and vegetation			taro	taro	108.0	351	TARO (noun)	3.0
109	sago	sago	sagu	Agriculture and vegetation			sago	sago	109.0	2270	SAGO (noun)	3.0
110	millet	millet	botok	Agriculture and vegetation			millet	millet	110.0	931	MILLET (noun)	3.0
111	sugarcane	sugarcane	tebu	Agriculture and vegetation			sugarcane	sugarcane	111.0	146	SUGAR CANE (noun)	8.0
112	cornmaize	"corn; maize"	jagung	Agriculture and vegetation			"corn; maize"	"corn; maize"	112.0	506	MAIZE (noun)	3.0
113	cookedcorn	cooked corn	ketema	Food and drink			cooked corn	cooked corn	113.0	269	COOKED (adjective)	5.0
114	coconut	coconut	kelapa	Agriculture and vegetation			coconut	coconut	114.0	970	COCONUT (noun)	3.0
115	gwang	gwang	pohon gwang	Agriculture and vegetation			gwang	gwang	115.0	0	???	8.0
116	lontarpalm	lontar palm	pohon lontar	Agriculture and vegetation			lontar palm	lontar palm	116.0	???	???	8.0
117	sugarpalm	sugar palm	pohon enau	Agriculture and vegetation			sugar palm	sugar palm	117.0	862	SUGAR (noun)	5.0
118	marungga	marungga	marungga	Agriculture and vegetation			marungga	marungga	118.0	0	???	8.0
119	gumtreeeuca	"gum tree; eucalyptus"	kayu putih	Agriculture and vegetation			"gum tree; eucalyptus"	"gum tree; eucalyptus"	119.0	0	???	8.0
120	bamboo	bamboo	bambu	Agriculture and vegetation			bamboo	bamboo	120.0	1927	BAMBOO (noun)	3.0
121	banana	banana	pisang	Agriculture and vegetation			banana	banana	121.0	868	BANANA (noun)	3.0
122	mango	mango	mangga	Agriculture and vegetation			mango	mango	122.0	2398	MANGO (noun)	3.0
123	papaya	papaya	pepaya	Agriculture and vegetation			papaya	papaya	123.0	2445	PAPAYA (noun)	3.0
124	jackfruit	jackfruit	nangka	Agriculture and vegetation			jackfruit	jackfruit	124.0	0	???	8.0
125	breadfruit	breadfruit	sukun	Agriculture and vegetation			breadfruit	breadfruit	125.0	2371	BREADFRUIT (noun)	3.0
126	bean	bean	kacang	Agriculture and vegetation			bean	bean	126.0	832	BEAN (noun)	3.0
127	honey	honey	madu	Food and drink			honey	honey	127.0	942	HONEY (noun)	3.0
128	milk	milk	susu	Food and drink			milk	milk	128.0	635	MILK (noun)	3.0
129	salt	salt	garam	Food and drink			salt	salt	129.0	1274	SALT (noun)	3.0
130	fat	fat	lemak	The body			fat	fat	130.0	2449	FAT (OF MEAT AND FOOD) (adjective)	3.0
131	fleshmeat	"flesh; meat"	daging	The body			"flesh; meat"	"flesh; meat"	131.0	634	MEAT (noun)	3.0
131		meat	 Daging		from Keraf		meat	MEAT				
132	bone	bone	tulang	The body			bone	bone	132.0	1394	BONE (noun)	3.0
133	rib	rib	tulang rusuk	The body			rib	rib	133.0	801	RIB (noun)	3.0
134	sweat	sweat	keringat	They body			sweat	sweat	134.0	126	SWEAT (PERSPIRE) (verb)	3.0
135	tear	tear	air mata	Emotions and values			tear	tear	135.0	1651	TEAR (OF EYE) (noun)	3.0
136	blood	blood	darah	The body			blood	blood	136.0	946	BLOOD (noun)	3.0
137	tendon	tendon	urat	The body			tendon	tendon	137.0	1137	TENDON (noun)	3.0
138	heart	heart	jantung	The body			heart	heart	138.0	1223	HEART (noun)	3.0
139	liver	liver	hati	The body			liver	liver	139.0	1224	LIVER (noun)	3.0
140	kidney	kidney	ginjal	The body			kidney	kidney	140.0	489	KIDNEY (noun)	3.0
141	guts	guts	"usus; isi perut"	The body			guts	guts	141.0	1334	GUTS (noun)	3.0
142	excrement	excrement	tahi	The body			excrement	excrement	142.0	0	???	8.0
143	lungs	lungs	paru-paru	The body			lungs	lungs	143.0	688	LUNG (noun)	8.0
144	stomachbell	"stomach; belly"	perut	The body			"stomach; belly"	"stomach; belly"	144.0	2114	BELLY OR STOMACH (noun)	3.0
144		belly	 Perut		from Keraf		belly	BELLY				
145	head	head	kepala	The body			head	head	145.0	1256	HEAD (noun)	3.0
146	hair	hair	rambut	The body			hair	hair	146.0	1040	HAIR (noun)	3.0
147	bodyhair	body hair	bulu (orang)	The body			body hair	body hair	147.0	189	BODY HAIR (noun)	3.0
148	eye	eye	mata	The body			eye	eye	148.0	1248	EYE (noun)	3.0
149	ear	ear	telinga	The body			ear	ear	149.0	1247	EAR (noun)	3.0
150	nose	nose	hidung	The body			nose	nose	150.0	1221	NOSE (noun)	3.0
151	mouth	mouth	mulut	The body			mouth	mouth	151.0	674	MOUTH (noun)	3.0
152	chin	chin	dagu	The body			chin	chin	152.0	1510	CHIN (noun)	3.0
153	lips	lips	bibir	The body			lips	lips	153.0	478	LIP (noun)	8.0
154	teeth	teeth	gigi	The body			teeth	teeth	154.0	1380	TOOTH (noun)	8.0
155	tongue	tongue	lidah	The body			tongue	tongue	155.0	1205	TONGUE (noun)	3.0
156	neck	neck	leher (di muka)	The body			neck	neck	156.0	1333	NECK (noun)	3.0
157	shoulder	shoulder	bahu	The body			shoulder	shoulder	157.0	1482	SHOULDER (noun)	3.0
158	body	body	badan	The body			body	body	158.0	1480	BODY (noun)	3.0
159	forehead	forehead	dahi	The body			forehead	forehead	159.0	123	FOREHEAD (noun)	3.0
160	nostril	nostril	lubang hidung	The body			nostril	nostril	160.0	1178	NOSTRIL (noun)	3.0
161	mucus	mucus	ingus	The body			mucus	mucus	161.0	208	NASAL MUCUS (SNOT) (noun)	5.0
162	cheek	cheek	pipi	The body			cheek	cheek	162.0	1730	CHEEK (noun)	3.0
163	arm	arm	tangan	The body			arm	arm	163.0	1673	ARM (noun)	3.0
164	hand	hand	tangan	The body			hand	hand	164.0	1277	HAND (noun)	3.0
165	palmofhand	palm of hand	tapak (tangan)	The body			palm of hand	palm of hand	165.0	1183	PALM OF HAND (noun)	3.0
166	finger	finger	jari	The body			finger	finger	166.0	1303	FINGER (noun)	3.0
167	fingernail	fingernail	kuku	The body			fingernail	fingernail	167.0	1258	FINGERNAIL (noun)	3.0
168	breast	breast	"susu; buah dada"	The body			breast	breast	168.0	1402	BREAST (noun)	3.0
169	chest	chest	dada	The body			chest	chest	169.0	1592	CHEST (noun)	3.0
170	navel	navel	pusat	The body			navel	navel	170.0	1838	NAVEL (noun)	3.0
171	penis	penis	zakar	The body			penis	penis	171.0	1222	PENIS (noun)	3.0
172	vagina	vagina	vagina	The body			vagina	vagina	172.0	1836	VAGINA (noun)	3.0
173	testicles	testicles	buah pelir	The body			testicles	testicles	173.0	797	TESTICLES (noun)	3.0
174	leg	leg	kaki	The body			leg	leg	174.0	1297	LEG (noun)	3.0
175	foot	foot	kaki	The body			foot	foot	175.0	1301	FOOT (noun)	3.0
176	heeloffoot	heel of foot	tumit	The body			heel of foot	heel of foot	176.0	1301	FOOT (noun)	5.0
177	soleoffoot	sole of foot	tapak (kaki)	The body			sole of foot	sole of foot	177.0	1301	FOOT (noun)	5.0
178	knee	knee	lutut	The body			knee	knee	178.0	1371	KNEE (noun)	3.0
179	back	back	belakang	The body			back	back	179.0	1291	BACK (noun)	3.0
180	spinelowerb	"spine; lower back"	"pinggang; tulang punggung"	The body			"spine; lower back"	"spine; lower back"	180.0	805	SPINE (noun)	3.0
181	waist	waist	pinggang	The body			waist	waist	181.0	1681	WAIST (noun)	3.0
182	skin	skin	kulit	The body			skin	skin	182.0	763	SKIN (noun)	3.0
183	sorewound	"sore; wound"	luka	The body			"sore; wound"	"sore; wound"	183.0	51	SORE (noun)	3.0
184	ringworm	ringworm	kurap	The body			ringworm	ringworm	184.0	0	???	8.0
185	scabies	scabies	kudis	The body			scabies	scabies	185.0	0	???	8.0
186	tinea	tinea	panau	The body			tinea	tinea	186.0	0	???	8.0
187	feverish	feverish	demam	The body			feverish	feverish	187.0	1534	FEVER (noun)	8.0
188	conjunctivi	conjunctivitis	belek	The body			conjunctivitis	conjunctivitis	188.0	0	???	8.0
189	coldinfluen	"cold; influenza"	"pilek; flu"	The body			"cold; influenza"	"cold; influenza"	189.0	102	COMMON COLD (DISEASE) (noun)	3.0
190	person	person	orang	Kinship			person	person	190.0	683	PERSON (noun)	3.0
191	name	name	nama	Speech and language			name	name	191.0	1405	NAME (noun)	3.0
192	child	child	anak	Kinship			child	child	192.0	2099	CHILD (noun)	3.0
193	man	man	laki-laki	Kinship			man	man	193.0	1554	MAN (noun)	3.0
194	woman	woman	perempuan	Kinship			woman	woman	194.0	962	WOMAN (noun)	3.0
195	husband	husband	suami	Kinship			husband	husband	195.0	1200	HUSBAND (noun)	3.0
196	wife	wife	istri	Kinship			wife	wife	196.0	1199	WIFE (noun)	3.0
197	mother	mother	mama	Kinship			mother	mother	197.0	1216	MOTHER (noun)	3.0
198	father	father	bapak	Kinship			father	father	198.0	1217	FATHER (noun)	3.0
199	oldersiblin	older sibling	kakak	Kinship			older sibling	older sibling	199.0	405	OLDER SIBLING (noun)	3.0
200	youngersibl	younger sibling	adik	Kinship			younger sibling	younger sibling	200.0	427	YOUNGER SIBLING (noun)	3.0
201	brideprice	bride price	"b̩lis; emas kawin"	Kinship			bride price	bride price	201.0	657	PRICE (noun)	5.0
202	slave	slave	budak	Social and political relations			slave	slave	202.0	812	SLAVE (noun)	3.0
203	1sg	1sg	saya	Kinship			1sg	1sg	203.0	1209	I	8.0
204	2sginformal	2sg (informal)	"kau; kamu"	Kinship			2sg (informal)	2sg (informal)	204.0	1215	THOU	8.0
204		"2sg;2pl"	 Engkau/ kamu		from Keraf		"2sg;2pl"	"2SG;2PL"				
205	2sgpolite	2sg (polite)	anda	Kinship			2sg (polite)	2sg (polite)	205.0	0	???	8.0
206	3sg	3sg	dia	Kinship			3sg	3sg	206.0	262	HE OR SHE OR IT	8.0
207	1plexcl	1pl excl	kami	Kinship			1pl excl	1pl excl	207.0	1130	WE (EXCLUSIVE)	8.0
207		1pl.exc	 Kami		from Keraf		1pl.exc	1PL.EXC				
208	1plincl	1pl incl	kita	Kinship			1pl incl	1pl incl	208.0	1131	WE (INCLUSIVE)	8.0
208		1pl.inc	 Kita		from Keraf		1pl.inc	1PL.INC				
209	2pl	2pl	kalian	Kinship			2pl	2pl	209.0	1213	YOU 	8.0
210	3pl	3pl	mereka	Kinship			3pl	3pl	210.0	817	THEY	8.0
211	nonot	"no; not"	"tidak; bukan"	Miscellaneous function words			"no; not"	"no; not"	211.0	1269	NO	2.0
212	and	and	dan	Cognition			and	and	212.0	1577	AND	2.0
213	because	because	karena	Cognition			because	because	213.0	1157	BECAUSE	2.0
214	if	if	kalau	Cognition			if	if	214.0	1459	IF	2.0
215	with	with	dengan	Miscellaneous function words			with	with	215.0	1340	WITH	2.0
216	what	what?	apa?	Cognition			what?	what?	216.0	1236	WHAT	2.0
216		what	 Apa		from Keraf		what	WHAT				
217	who	who?	siapa?	Cognition			who?	who?	217.0	1235	WHO	2.0
217		who	 Siapa		from Keraf		who	WHO				
218	where	where?	mana? (di/ke/dari mana?)	Cognition			where?	where?	218.0	1237	WHERE	2.0
218		where	 Di mana		from Keraf		where	WHERE				
219	when	when?	kapan?	Cognition			when?	when?	219.0	1238	WHEN	2.0
219		when	 Bilamana		from Keraf		when	WHEN				
220	why	why?	mengapa?	Cognition			why?	why?	220.0	1270	WHY	2.0
221	howmuchhowm	"how much; how many?"	berapa?	Cognition			"how much; how many?"	"how much; how many?"	221.0	531	HOW MUCH	2.0
222	how	how?	bagaimana?	Cognition			how?	how?	222.0	1239	HOW	2.0
223	this	this	ini	Miscellaneous function words			this	this	223.0	1214	THIS	2.0
224	that	that	itu	Miscellaneous function words			that	that	224.0	78	THAT	2.0
225	at	at	"di; pada"	Spatial relations			at	at	225.0	1461	AT	2.0
226	ininside	"in; inside"	dalam	Spatial relations			"in; inside"	"in; inside"	226.0	1606	INSIDE	2.0
227	here	here	sini	Miscellaneous function words			here	here	227.0	136	HERE	2.0
228	there	there	sana	Miscellaneous function words			there	there	228.0	1937	THERE	2.0
229	above	above	atas	Spatial relations			above	above	229.0	1741	ABOVE	2.0
230	below	below	bawah	Spatial relations			below	below	230.0	2094	DOWN OR BELOW	5.0
231	leftside	left (side)	kiri	Spatial relations			left (side)	left (side)	231.0	244	LEFT (adjective)	3.0
231		left	 Kiri		from Keraf		left	LEFT				
232	rightside	right (side)	kanan	Spatial relations			right (side)	right (side)	232.0	1019	RIGHT (adjective)	3.0
232		right	 Kanan		from Keraf		right	RIGHT				
233	afew	a few	sedikit	Quantity			a few	a few	233.0	1242	FEW	3.0
233		few	 Sedikit		from Keraf		few	FEW				
234	all	all	semua	Quantity			all	all	234.0	98	ALL	2.0
235	many	many	banyak	Quantity			many	many	235.0	428	BE MANY	2.0
236	animal	animal	binatang	Animals			animal	animal	236.0	619	ANIMAL (noun)	3.0
237	fowl	fowl	unggas	Animals			fowl	fowl	237.0	265	FOWL (noun)	3.0
238	dog	dog	anjing	Animals			dog	dog	238.0	2009	DOG (noun)	3.0
239	pig	pig	babi	Animals			pig	pig	239.0	2169	PIG (CLASSIFIER) (classifier)	3.0
240	chicken	chicken	ayam	Animals			chicken	chicken	240.0	1318	CHICKEN (noun)	3.0
241	rat	rat	tikus	Animals			rat	rat	241.0	1490	RAT (noun)	3.0
242	lizard	lizard	tokek	Animals			lizard	lizard	242.0	632	LIZARD (noun)	3.0
243	civetcat	civet cat	musang	Animals			civet cat	civet cat	243.0	???	???	8.0
244	deer	deer	rusa	Animals			deer	deer	244.0	1936	DEER (noun)	3.0
245	frog	frog	kodok	Animals			frog	frog	245.0	503	FROG (noun)	3.0
246	bat	bat	kelelewar	Animals			bat	bat	246.0	1793	BAT (noun)	3.0
247	flyinfoxfru	"flying fox; fruit bat"	kalonÁ	Animals			"flying fox; fruit bat"	"flyinÁ fox; fruit bat"	247.0	0	???	5.0
248	cuscus	cuscus	kuskus	Animals			cuscus	cuscus	248.0	0	???	8.0
249	tail	tail	ekor	The body			tail	tail	249.0	1220	TAIL (noun)	3.0
249		tale	 Ekor		from Keraf		tale	TALE				
250	fish	fish	ikan	Animals			fish	fish	250.0	227	FISH (noun)	3.0
251	shark	shark	hiu	Animals			shark	shark	251.0	1110	SHARK (noun)	3.0
252	whale	whale	(ikan) paus	Animals			whale	whale	252.0	957	WHALE (noun)	3.0
253	dolphin	dolphin	(ikan) lumba-lumba	Animals			dolphin	dolphin	253.0	1479	DOLPHIN (noun)	3.0
254	crocodile	crocodile	buaya laut	Animals			crocodile	crocodile	254.0	1857	CROCODILE (noun)	3.0
255	monitorliza	monitor lizard	"buaya darat; biawak"	Animals			monitor lizard	monitor lizard	255.0	???	???	8.0
256	starfish	starfish	bintang laut	Animals			starfish	starfish	256.0	0	???	8.0
257	turtle	turtle	penyu	Animals			turtle	turtle	257.0	112	TURTLE (noun)	3.0
258	turtlesaltw	turtle (saltwater)	kura-kura laut	Animals			turtle (saltwater)	turtle (saltwater)	258.0	112	TURTLE (noun)	3.0
259	bird	bird	burung	Animals			bird	bird	259.0	937	BIRD (noun)	3.0
260	wing	wing	sayap	The body			wing	wing	260.0	1257	WING (noun)	3.0
261	claw	claw	cakar	The body			claw	claw	261.0	72	CLAW (noun)	3.0
262	feather	feather	bulu (burung)	The body			feather	feather	262.0	1201	FEATHER (noun)	3.0
263	horn	horn	tanduk	The body			horn	horn	263.0	939	HORN (INSTRUMENT) (noun)	3.0
264	snake	snake	ular	Animals			snake	snake	264.0	730	SNAKE (noun)	3.0
265	scorpion	scorpion	kalajengking	Animals			scorpion	scorpion	265.0	1538	SCORPION (noun)	3.0
266	egg	egg	telur	Food and drink			egg	egg	266.0	744	EGG (noun)	3.0
267	earthworm	earthworm	cacing tanah	Animals			earthworm	earthworm	267.0	2350	EARTHWORM (noun)	3.0
268	butterfly	butterfly	kupu-kupu	Animals			butterfly	butterfly	268.0	1791	BUTTERFLY (noun)	3.0
269	flyn	fly (n.)	lalat	Animals			fly (n.)	fly (n.)	269.0	1504	FLY (INSECT) (noun)	2.0
