ID,Description,English,Indonesian,Semantic_Field,Elicitation_Notes,Core_Set,Concepticon_ID,Comment
leaf,,leaf,daun,Agriculture and vegetation,,,628,
to_know,,know,tahu,Cognition,,,1410,
to_bark,,bark,(anjing) gonggong,Animals,,,1206,
lontar_palm,,lontar palm,pohon lontar,Agriculture and vegetation,,,3030,
millet,,millet,jawawut,Agriculture and vegetation,"If you can, show a picture.",,931,Some word lists may contain elicitations for ‘botok’
cold,,cold,dingin,Sense perception,,,1287,
hungry,,hungry,lapar,Food and drink,,,1533,
to_curse,,curse,sumpah; menyumpahi,Religion and belief,Please elicit the verb,,8,
white,,white,putih,Sense perception,,,1335,
to_swim,,swim,berenang,Motion,,,1439,
sago,,sago,sagu,Agriculture and vegetation,,,2270,
to_go,,go,pergi,Motion,,,695,
angry,,angry,marah,Emotions and values,,,1826,
to_hear,,hear,dengar,Sense perception,,,1408,
marungga,,moringa tree,merunggai,Agriculture and vegetation,,,3031,
smoke,,smoke,asap,The physical world,,,778,
to_borrow,,borrow,meminjam,Possession,,,1823,
mango,,mango,mangga,Agriculture and vegetation,,,2398,
one_hundred_and_twenty_three,,one hundred and twenty three,seratus dua puluh tiga,Quantity,,,3164,
to_grow,,grow,tumbuh,Spatial relations,,,479,
ice,,ice,es,The physical world,,,617,
cuscus,,cuscus,kuskus,Animals,,,470,
big,,big,besar,Spatial relations,,,1202,
voice,,voice,suara,Speech and language,,,1363,
where,,where?,di mana?,Cognition,,,1237,"Keraf: ‘di mana’; Some lists also include ""ke/dari mana"", ""to/from where"""
at,,at,di; pada,Spatial relations,,,1461,Keraf: ‘di’
inside,,in; inside,di dalam,Spatial relations,,,1606,"Keraf: ‘dalam’; Other collectors may have elicited ‘dalam’, which on its own means ‘deep’."
to_sail,,sail,berlayar,Motion,,,787,
thirteen,,thirteen,tiga belas,Quantity,,,1708,
skinny,,skinny (human),kurus,Spatial relations,,,1400,
rib,,rib,tulang rusuk; tulang rebis,The body,In South Sulawesi: iga,,801,
rice_ear_bug,,rice ear bug,walang sangit,Animals,Destroys rice crops and gives off a bad smell when disturbed.,,3158,Leptocorisa oratoria
to_kill,,kill,bunuh,The body,,,1417,
sweet_potato,,sweet potato,ubi jalar,Agriculture and vegetation,,,159,
liver,,liver,hati,The body,,,1224,
footprint,,footprint,jejak kaki,The body,,,318,from Keraf
cassava,,cassava,ubi kayu,Agriculture and vegetation,,,925,
adultery,,adultery,zina; perzinaan,Law,,,902,
to_buy,,buy,beli,Possession,,,1869,
to_cry,,cry,menangis,Emotions and values,,,1839,
forehead,,forehead,dahi,The body,,,123,
moon,,moon,bulan (di langit),The physical world,,,1313,
to_slap,,slap,tepuk; menampar,Basic actions and technology,"Mimic the movement, we look for the painful one",,3160,"There may be confusion corcerning this concept and ‘to clap’. Other elicitations were ‘tampar’, ‘menampar’."
road,,road; path; way,jalan,Motion,Please ensure to elicit the noun,,667,
window,,window,jendela,The house,,,1375,
dibble_stick,,dibble stick,tugal,Agriculture and vegetation,,,3155,
to_answer,,answer,menjawab,Speech and language,,,1275,
banana,,banana,pisang,Agriculture and vegetation,,,868,
blind,,blind,buta,The body,,,1653,
twilight_dawn,,twilight; dawn,subuh,Time,"Elicit time of day, not prayer – ‘fajar’ may be helpful in some regions",,729,
one_hundred_thousand,,one hundred thousand,seratus ribuh,Quantity,,,2078,
sand,,sand,pasir,The physical world,,,671,
bark_of_tree,,bark (of tree),kulit pohon,Agriculture and vegetation,,,1204,
bean,,bean,kacang,Agriculture and vegetation,,,832,
full,,full,penuh,Quantity,,,1429,
turtle,,turtle,penyu,Animals,,,112,Some forms connected to this concept may have been elicited using the confusing ‘kura-kura laut’ (‘sea tortoise’). Those forms are marked in the word lists.
easy,,easy,gampang,Cognition,,,686,
branch,,branch,dahan,Agriculture and vegetation,,,1531,
ritual_mound,A mound of stones or altar around/on which ritual activities are held.,mound of stones for ritual activities,gundukan batu (untuk upacara adat),The house,The cultural features questionnaire also asks for this term.,,,
candle,,candle,lilin,The house,,,1273,
to_let_go,,let go,melepaskan,Possession,,,1095,
to_teach,,teach,mengajar,Cognition,,,709,
to_sell,,sell,jual,Possession,,,1571,
to_swell,,swell,bengkak,The body,,,1573,
to_dig,,dig,gali,Agriculture and vegetation,,,1418,
twenty_four,,twenty four,dua puluh empat,Quantity,,,1736,
twenty,,twenty,dua puluh,Quantity,,,1710,
sugarcane,,sugarcane,tebu,Agriculture and vegetation,,,146,
canoe,,canoe,perahu,Motion,,,1970,Some word lists contain elicitations for ‘sampan’ (which is a small boat with sail)
to_worship,,worship,bersembayang,Religion and belief,,,257,
traditional_house,A dwelling built in a vernacular or ethnic architectural style.,traditional house,rumah adat,Religion and belief,,,1252,Different forms in the counterparts for this concept may imply different architectural styles. The concepticon concept is more general.
skin,,skin,kulit,The body,,,763,
jackfruit,,jackfruit,nangka,Agriculture and vegetation,,,2655,
clothing,,clothing,pakaian,Clothing and grooming,,,1895,
cooked_corn,,cooked corn,ketema; jagung yang dimasak,Food and drink,Refers to a specific type of corn porridge which may not exist in all areas,,3027,
louse_clothing,,louse (clothing); body louse,tuma; kutu pakaian,Animals,,,311,
horn,,horn,tanduk,The body,,,1393,
to_pull,,pull,tarik,Basic actions and technology,,,1455,
younger_brother,,younger brother,adik laki-laki,Kinship,,,1760,
excrement,,excrement,kotoran; tahi,The body,,,675,
twenty_three,,twenty three,dua puluh tiga,Quantity,,,3165,
sour,,sour,asam,Sense perception,,,1906,
penis,,penis,kemaluan laki-laki,The body,"Often taboo. Be sensitive, explain: ini sehingga anggota tubuh semua  bisa dimasukkan dalam dalam kamus, itu saja, jangan marah bapak? If they still remain silent, skip.    ",,1222,
trousers,,trousers,celana panjang,Clothing and grooming,,,809,
cheap,,cheap,murah,Possession,,,1887,
thirty,,thirty,tiga puluh,Quantity,,,1715,
long,,long (stick),(kayu) panjang,Spatial relations,,,1203,Keraf: ‘panjang’
sugar_palm,,sugar palm,pohon enau,Agriculture and vegetation,,,3029,
black,,black,hitam,Sense perception,,,163,
garden,,garden,kebun,Agriculture and vegetation,,,586,
gebang_palm,,gebang palm,pohon gebang,Agriculture and vegetation,"If the word ""gebang"" is not recognized, try ""g(e)wang""",,3156,Corypha utan (‘gebang palm’ or ‘cabbage palm’)
sermon,,sermon,khotbah,Religion and belief,,,3167,
seventy,,seventy,tujuh puluh,Quantity,,,1721,
soil,,land; earth; soil,tanah,The physical world,,,1228,
chieftain,,chieftain,kepala suku,Social and political relations,,,301,
near,,near,dekat,Spatial relations,,,1942,
shy_ashamed,,shy; ashamed,malu,Emotions and values,,,487,
holy,,holy,suci; kudus,Religion and belief,,,1702,
hot,,hot,panas,Sense perception,,,1286,
bed,,bed,tempat tidur,The house,,,1663,
to_hide,,hide,sembunyi,Spatial relations,,,602,
round,,round,bulat,Spatial relations,,,1395,
1pl_incl,,1pl incl,kita,Kinship,,,1131,
drizzle,,drizzle,(hujan) gerimis,The physical world,,,1016,
sarong_women,"The female style of a large tube or length of fabric, often wrapped around the waist, worn throughout much of South Asia.",sarong (women),sarung (perempuan),Clothing and grooming,"If there are different words for male and female sarongs, collect the female one.",,2413,Concepticon has the more general concept SARONG 2413 (either male or female)
green,,green,(daun) hijau,Sense perception,,,1425,
head,,head,kepala,The body,,,1256,
three,,three,tiga,Quantity,,,492,
to_bite,,bite,(anjing) gigit,The body,,,1403,
bone,,bone,tulang,The body,,,1394,
to_float,,float,terapung,Motion,,,1574,
fourteen,,fourteen,empat belas,Quantity,,,2451,
feather,,feather,bulu (burung),The body,,,1201,
machete,,machete,parang,Food and drink,,,2680,
2sg_polite,,2sg (polite),anda,Kinship,,,2844,
grains,,grain; cereal,padi-padian,Agriculture and vegetation,"There might not be a general term. If there isn’t, leave it empty.",,605,
thread,,thread,benang,Clothing and grooming,,,1161,
1pl_excl,,1pl excl,kami,Kinship,,,1130,
narrow,,narrow (road),sempit (jalan),Spatial relations,"Not: rumah sempit (crowded/small house), or pakaian sempit (clothes that are too tight).",,1267,
crocodile,,crocodile,buaya laut,Animals,,,1857,
wood,,wood,kayu,The physical world,,,1803,Some word lists may contain elicitations for ‘kayu pohon’
2sg_informal,,2sg (informal),engkau; kau; kamu,Kinship,"Specifically, the singular one.",,1215,
louse_in_hair,,louse in hair; head louse; mother louse,kutu kepala,Animals,,,1392,Keraf: ‘kutu’
marriage,,marriage,perkawinan,Social and political relations,,,2432,
claw,,claw,cakar,The body,,,72,
stem,,stem,batang,Agriculture and vegetation,,,2628,from Keraf
day,,day,hari,Time,,,1260,
3pl,,3pl,mereka,Kinship,,,817,
bat,,bat,kelelawar,Animals,,,1793,
snake,,snake,ular,Animals,,,730,
wide,,wide,lebar,Spatial relations,,,1243,
man,,man,laki-laki,Kinship,,,1554,
broom,,broom,sapu,The house,,,245,
to_learn,,learn,belajar,Cognition,,,504,
to_fall_from_above,,fall (from above),jatuh (dari atas),Motion,,,1280,Keraf: ‘jatuh’ – There are usually many ways of saying this
fowl,,fowl,unggas,Animals,"There might not be a term like this, between bird and chicken. If there isn’t, leave it empty.",,265,
rattan,,rattan,rotan,Agriculture and vegetation,,,2497,
to_tell_untruth,,lie (tell untruth),bohong,Emotions and values,,,601,
to_sleep,,sleep,tidur,The body,,,1585,
wound,,sore; wound,luka,The body,,,1109,
what,,what?,apa?,Cognition,,,1236,
kidney,,kidney,ginjal,The body,,,489,
deer,,deer,rusa,Animals,,,1936,
to_smell,,smell,cium (bau),Sense perception,,,1586,
lightning,,lightning,kilat,The physical world,,,1654,
to_see,,see,lihat,Sense perception,,,1409,
fishing_hook,,fishing hook,mata kail,Warfare and hunting,,,1074,
to_count,,count,hitung,Quantity,,,1420,
twenty_one,,twenty one,dua puluh satu,Quantity,,,1734,
to_close,,close,tutup,Spatial relations,,,1046,
to_dream,,dream,mimpi,The body,,,1920,
oven,,hearth,tungku,Food and drink,,,1143,"Threestone hearth, in particular"
initiation_ceremony,,initiation ceremony,upacara prabakti,Religion and belief,Please specify which type of ceremony(s) is given,,1946,May refer to a different ceremony in different cultures
twenty_two,,twenty two,dua puluh dua,Quantity,,,3166,
earring,,earring,anting-anting,Clothing and grooming,,,770,
to_drink,,drink,minum,Food and drink,,,1401,
grandfather,,grandfather,kakek; opa,Kinship,,,1383,
day_after_tomorrow,,day after tomorrow,lusa,Time,,,1179,
lamp,,lamp,lampu,The house,,,625,
twenty_five,,twenty five,dua puluh lima,Quantity,,,1738,
hour,,hour,jam,Time,,,1353,
to_wake_someone_up,,wake someone up,kasih bangun (seseorang),The body,Like 'membangunkan' (but not with the sense of 'to erect a building'),,3174,
sea,,sea; sea water,laut; air laut,The physical world,,,1474,
money,,money,uang,Possession,,,1559,
palm_of_hand,,palm of hand,tapak (tangan),The body,,,1183,
flat,,flat,rata; datar,Spatial relations,,,1633,
to_weave,,weave,menenun,Clothing and grooming,,,133,
heavy,,heavy,berat,Sense perception,,,1210,
to_cut,,cut,potong,Basic actions and technology,,,1432,
ant,,ant,semut,Animals,,,587,
fruit,,fruit,buah,Food and drink,,,1507,
night,,night,malam,Time,,,1233,
earthworm,,earthworm,cacing tanah,Animals,,,2350,
to_suck,,suck,isap,Food and drink,,,1421,
2sg_2pl,,2sg; 2pl,engkau; kamu,Kinship,"DO NOT ELICIT THIS, this is a legacy concept covered elsewhere",,,from Keraf – we don’t actually know which one he elicited
lungs,,lungs,paru-paru,The body,,,688,
to_climb,,climb,naik,Motion,,,1102,
forty,,forty,empat puluh,Quantity,,,1716,
that,,that,itu,Miscellaneous function words,,,78,
heart,,heart,jantung,The body,,,1223,
2pl,,2pl,kalian,Kinship,,,1213,
house,,house,rumah,The house,,,1252,
sun,,sun,matahari,The physical world,,,1343,
to_hunt,,hunt,berburu,Warfare and hunting,,,1435,
to_shoo_to_chase_away_to_send_away,,"to chase away, to expel",mengusir,Motion,,,30,
tomorrow,,tomorrow,besok,Time,,,1329,
to_die,,die,mati,The body,,,1494,
mud,,mud,lumpur,The physical world,,,640,
to_think,,think,pikir,Cognition,,,1415,
papaya,,papaya,pepaya,Agriculture and vegetation,,,2445,
blue,,blue,(langit) biru,Sense perception,,,837,
bird,,bird,burung,Animals,,,937,
mountain,,mountain,gunung,The physical world,,,639,
tinea,,tinea,panau,The body,,,3173,"The overlap with ‘ringworm’ is high, both are types of dermaphytosis, yet from the sampled lexicon they appear as two consistent, distinct concepts."
same,,same,sama,Miscellaneous function words,,,200,
penalty,,penalty,hukuman,Law,,,1196,
small,,small,kecil,Spatial relations,,,1246,
bad,,bad,jelek,Emotions and values,,,1292,
gravel,,gravel,(batu) kerikil,The physical world,,,3028,
to_surrender,,surrender,menyerahkan,Warfare and hunting,,,1696,
brother_in_law,,brother-in-law,kunyadu; ipar,Kinship,,,2314,
dark,,dark,gelap,Sense perception,,,706,
tear,,tear,air mata,Emotions and values,,,1651,
conjunctivitis,,conjunctivitis,mata merah; belek,The body,Ketika mata pedih dan merah kemudian ketika bangun tidur mata sulit dibuka dan kadang-kadang keluar cairan kuning.,,3026,"Some word lists contain elicitations for ‘mata merah’, some for ‘belek’"
there,,there,sana,Miscellaneous function words,,,1937,
spider,,spider,laba-laba,Animals,,,843,
mucus,,mucus,ingus,The body,,,208,
thin,,thin (non-human),tipis,Spatial relations,,,2307,
to_command,,command; order,menyuruh,Social and political relations,,,1128,"Some word lists may contain elicitations for ‘perintah’, which may also be a noun instead of a verb."
bedbug,,bedbug,kutu busuk,Animals,,,1949,
to_cut_down,,cut down,tebang,Basic actions and technology,,,355,
eighty,,eighty,delapan puluh,Quantity,,,1722,
mouth,,mouth,mulut,The body,,,674,
nephew_niece,,nephew; niece,keponakan,Kinship,,,173,
to_plant_rice,put a (rice) seedling in the flooded ground of a paddy field so that it strikes root and grows.,to plant (rice),tanam (padi),Agriculture and vegetation,,,,Concepticon has the more general concept PLANT (SOMETHING) 1486 (not specific to the type of planting done for rice)
to_lie_down,,lie down,baring,Spatial relations,,,215,
sharp,,sharp,tajam,Sense perception,"Of spear (tombak) or machete (parang); if there are two different words, elicit both.",,1396,
nostril,,nostril,lubang hidung,The body,,,1178,
axe,,axe,kapak,Basic actions and technology,,,677,
body,,body,badan,The body,,,1480,
other,,other,lain,Miscellaneous function words,,,197,from Keraf
dog,,dog,anjing,Animals,,,2009,
testicles,,testicles,buah pelir,The body,,,797,
some,,some,beberapa,Quantity,,,1241,from Keraf
comb,,comb,sisir,Clothing and grooming,,,1475,
root,,root,akar,Agriculture and vegetation,,,670,
battle,,war; battle,perang,Warfare and hunting,,,579,
fog,,fog,kabut,The physical world,"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari",,249,
dirty,,dirty,kotor,Sense perception,,,1230,
nine,,nine,sembilan,Quantity,,,1483,
bitter,,bitter,pahit,Sense perception,,,887,
old_people,,old; elderly (people),(orang) tua,Time,,,2112,Keraf: ‘tua’
old_worn_house,,old; worn (house),(rumah) tua,Time,,,2113,
ash,,(fireplace) ash,abu (tungku),The physical world,"NOT 'debu' (dust, after you have been sweeping)",,646,Keraf: ‘abu’
older_sister,,older sister,kakak perempuan,Kinship,,,1758,
friend,,friend,teman,Social and political relations,,,1325,
language,,language,bahasa,Speech and language,,,1307,
this,,this,ini,Miscellaneous function words,,,1214,
tongue,,tongue,lidah,The body,,,1205,
few,,a few,sedikit,Quantity,,,1242,
to_promise,,promise,berjanji,Speech and language,,,1675,
back,,back,belakang,The body,,,1291,
salty,,salty,asin,Sense perception,,,1091,
stone,,stone,batu,The physical world,,,857,
to_plant_yam,put a (yam) seed tuber into ridged-up ground so that it strikes root and grows.,to plant (yam),tanam (ubi),Agriculture and vegetation,,,,Concepticon has the more general concept PLANT (SOMETHING) 1486 (not specific to the type of planting done for yam)
name,,name,nama,Speech and language,,,1405,
fence,,fence,pagar,Agriculture and vegetation,,,1690,
fever,,fever,demam,The body,,,1534,"If the language has a clear class of adjectives, older wordlists may have the concept ‘feverish’ here instead."
below,,below,bawah,Spatial relations,"If there are different words for the place and the direction, elicit both and annotate.",,2094,
to_speak,,speak,bicara,Speech and language,,,1623,
innocent,,innocent,tidak bersalah,Law,,,90,
deaf,,deaf,tuli,The body,,,996,
scabies,,scabies,kudis,The body,,,3172,
to_hit_drum,,hit (drum),pukul (genderang),Motion,,,11,
here,,here,sini,Miscellaneous function words,"If there is confusion, ask for ‘di sini’",,136,
morning,,morning,pagi,Time,,,1339,
to_search_for_to_hunt_for,,search for; to hunt for,cari,Possession,,,1468,Related: HUNT 1435
hill_ridge,,hill; ridge,bukit,The physical world,,,614,
to_skewer,,skewer,tusuk,Basic actions and technology,,,398,
betel_nut_areca,,betel nut; areca,pinang,Agriculture and vegetation,,,217,
guts,,guts,usus; isi perut,The body,,,1334,
sixteen,,sixteen,enam belas,Quantity,,,2454,
to_breathe,,breathe,napas,The body,,,1407,
mosque,,mosque,mesjid,Religion and belief,,,1603,
to_open,,open,buka,Spatial relations,,,1156,
lips,,lips,bibir,The body,,,478,
treaty,,treaty,perjanjian,Social and political relations,,,3169,
loom,,loom,perkakas tenun,Clothing and grooming,"Kata untuk seluru alat menenun. Tetapi di sini alat tenun tidak ada nama umum, dan masing-masing bagian ada namanya. (It is likely that there is no word referring to a loom as such,  only words referring to parts of it. If you can make a picture of a loom, you could try to elicit the words for the various parts. If this is not possible, just skip this.)",,1787,
dew,,dew,embun,The physical world,,,1977,from Keraf
fathers_sister,,father's sister,bibi; ayah punya saudara perempuan; tante,Kinship,,,170,
body_hair,,body hair,bulu (orang),The body,,,189,
to_help,,help,bantu,Social and political relations,,,1897,
to_fly,,fly,terbang,Motion,,,1441,
chair,,chair,kursi,The house,,,1476,
ridge,,ridge; ridgepole; peak; tip,bubungan,The house,,,280,
to_split,,split,belah,Basic actions and technology,,,1437,
teeth,,teeth,gigi,The body,,,1380,
frog,,frog,kodok,Animals,,,503,
roof_rafter,,roof rafter,kasau,The house,,,829,
earthquake,,earthquake,gempa bumi,The physical world,,,6,
young_people,,young (people),(orang) muda,Time,,,1207,
murder,,murder,pembunuhan,Law,,,845,
stick_pole,,stick; pole,tongkat,Basic actions and technology,,,1295,
because,,because,karena,Cognition,,,1157,
stranger,,stranger,orang luar; orang asing,Social and political relations,,,791,
to_push,,push,dorong; sorong; geser,Motion,,,1452,
to_turn,,turn,belok,Motion,,,1588,
ripe,,ripe,matang; (buah) masak,Food and drink,,,178,
bow,,bow,busur,Warfare and hunting,,,994,
priest_modern,,priest (modern),pendeta; pastor; imam,Religion and belief,,,852,
whale,,whale,(ikan) paus,Animals,,,957,
clean,,clean,bersih,Sense perception,,,704,
seed,,seed,biji,Agriculture and vegetation,,,714,
grandchild,,grandchild,anak cucu,Kinship,,,1617,
dowry,,dowry,emas kawin (dari pihak perempuan),Social and political relations,,,3168,
bride_price,,bride price,belis; emas kawin (dari pihak laki-laki),Kinship,,,3024,
older_brother,,older brother,kakak laki-laki,Kinship,,,1759,
to_sew,,sew,jahit,Clothing and grooming,,,1457,
light_weight,,light (weight),ringan,Sense perception,,,1052,
light_not_dark,,light (not dark),terang,Sense perception,,,250,
mother,,mother,mama,Kinship,,,1216,
to_throw,,throw,lempar,Motion,,,1456,
to_chew,,chew,kunyah,Food and drink,,,321,
four,,four,empat,Quantity,,,1500,
two_hundred,,two hundred,dua ratus,Quantity,,,2676,
village,,village,desa; kampung,Social and political relations,,,930,
necklace,,necklace,kalung,Clothing and grooming,,,1961,
to_shine,,blaze; shine,menyala,Sense perception,,,708,
shark,,shark,hiu,Animals,,,1110,
fishnet,,fishnet,jala,Warfare and hunting,,,388,
heel,,heel of foot,tumit,The body,,,980,
shirt,,shirt,baju,Clothing and grooming,,,1622,
burden_stick,,burden stick,lalepak,Basic actions and technology,Tongkat untuk bawa sesuatu di bahu,,3159,
to_freeze,,freeze,menjadi beku,The physical world,,,1431,
to_tie,,tie,ikat,Basic actions and technology,,,1917,
storage_house,,barn; storage house,gudang,The house,,,3025,"In some parts of the region, ‘gudang’ is not a separate building, just a separate room."
thunder,,thunder,guntur,The physical world,,,1150,
island,,island,pulau,The physical world,,,622,
grandmother,,grandmother,nenek,Kinship,,,1496,
star,,star,bintang,The physical world,,,1430,
needle,,needle,jarum,Clothing and grooming,,,1382,
cold_influenza,,"cold, influenza","pilek, flu",The body,,,102,
red,,red,merah,Sense perception,,,156,
to_wash,,wash,cuci,Basic actions and technology,,,1453,
foam,,foam,busa,The physical world,,,1768,
fist,,fist,tinju,The body,,,1473,from Keraf
to_work,,work,kerja,Basic actions and technology,,,1086,
to_sit,,sit,duduk,Spatial relations,,,1416,
spine_lower_back,,spine,tulang punggung,The body,Or try ‘tulang belakang’,,805,
no_not,,no; not,tidak; bukan,Cognition," Negation of verbal/adjectival predicate, e.g. Saya tidak suka minum bir; Saya tidak sakit. (Not 'bukan').",,2279,
to_cook,,cook,masak,Food and drink,,,1100,
salt,,salt,garam,Food and drink,,,1274,
flying_fox,,flying fox; fruit bat,kalong,Animals,,,235,
twelve,,twelve,dua belas,Quantity,,,1707,
difficult,,difficult,sulit,Cognition,,,584,
to_laugh,,laugh,ketawa,Emotions and values,,,1355,
right_side,,right (side),kanan,Spatial relations,,,1019,
mat,,mat,tikar,Basic actions and technology,,,195,
wife,,wife,istri,Kinship,Not 'married woman',,1199,
hair,,hair,rambut,The body,,,1040,
to_scratch,,scratch,garuk,The body,,,1436,
to_tell,,tell,menceritakan,Speech and language,,,1711,
far,,far,jauh,Spatial relations,,,1406,
firewood,,firewood,kayu api,The physical world,,,10,
dry,,dry,kering,Sense perception,,,1398,
to_stab,,stab,tikam,Basic actions and technology,,,1434,
cooked_rice,,cooked rice,nasi,Food and drink,,,1191,
neck,,neck,leher,The body,,,1333,
rainbow,,rainbow,pelangi,The physical world,,,1733,
fifteen,,fifteen,lima belas,Quantity,,,1709,
eleven,,eleven,sebelas,Quantity,,,1706,
church,,church,gereja,Religion and belief,,,1349,
eight,,eight,delapan,Quantity,,,1705,
many,,many,banyak,Quantity,,,1198,
to_squeeze,,squeeze,peras; remas,Basic actions and technology,,,1414,
market,,market,pasar,Possession,,,633,
bamboo,,bamboo,bambu,Agriculture and vegetation,,,1927,
digging_stick,,digging stick,"alat melubangi tanah, linggis",Agriculture and vegetation,NOT: ‘linggis’=‘crowbar’,,339,Some word lists may have elicted ‘alat sedot tanah’
to_shoot,,shoot,tembak,Warfare and hunting,,,1172,
enemy,,enemy,musuh,Social and political relations,,,1358,
to_steal,,steal,curi,Law,,,713,
starfish,,starfish,bintang laut,Animals,,,3032,
rough,,rough,kasar,Sense perception,,,1923,
father,,father,bapak,Kinship,,,1217,
grass,,grass; brush,rumput,Agriculture and vegetation,,,606,
lazy,,lazy,malas,The body,,,1564,
to_guard,,guard,jaga,Warfare and hunting,,,1940,
river_stream,,river; stream,sungai; kali,The physical world,,,666,
God,,God,Tuhan,Religion and belief,,,1944,
thick,,thick,tebal,Spatial relations,,,1244,
fifty,,fifty,lima puluh,Quantity,,,1717,
poor,,poor,miskin,Possession,,,1674,
to_say,,say,berkata,Speech and language,,,1458,
to_choose,,choose,pilih,Emotions and values,,,1750,
tall,,tall,(orang) tinggi,Spatial relations,,,711,
thatched_roof,,roof (thatched),atap (dari daun),The house,,,2100,
thatch_for_roofing,,thatch; reed or grass used for making roofs,alang-alang,The house,,,279,
ceremonial_place,,ground for ritual activities and public meetings,tempat upacara,The house,The cultural features questionnaire also asks for this term.,,3178,
vein,,vein,urat; pembuluh darah,The body,"NOT ‘urat daging’/‘tendon’, or any other string in the body",,1924,"Due to confusion with the indonesian word, some word lists may confuse this concept with ‘tendon’/‘urat (daging)’ or other stringy components of a body."
3sg,,3sg,dia,Kinship,,,262,
